Barnett Newman;Onement VI;05.14.2013;43,845,000
Andy Warhol;200 one dollar billsREPEAT SALE;11.11.2009;43,762,500
Claude Monet;Nymphéas;11.07.2012;43,762,500
Andy Warhol;Statue of Liberty;11.14.2012;43,762,500
Roy Lichtenstein;I can see the whole room!... and there′s nobody in it!REPEAT SALE;11.08.2011;43,202,500
Francis Bacon;Self Portrait;06.21.2007;42,957,148
Gustav Klimt;Kirche in Cassone - Landschaft mit Zypressen (Church in Cassone - Landscape with cypresses);02.03.2010;42,944,776
Francesco Guardi;Venice, a view of the Rialto Bridge, looking north (from The Fondamenta del carbon);07.06.2011;42,913,160
Roy Lichtenstein;Ohhh...Alright...;11.10.2010;42,642,500
Amedeo Modigliani;Jeanne Hébuterne (Au chapeau)REPEAT SALE;02.06.2013;42,347,128
Xu Beihong;Cultivation on the Peaceful Land;12.05.2011;41,899,616
Paul Cézanne;Les Pommes;05.07.2013;41,605,000
Pablo Picasso;Nature morte aux tulipesREPEAT SALE;11.08.2012;41,522,500
Claude Monet;Le Pont du chemin de fer à ArgenteuilREPEAT SALE;05.06.2008;41,481,000
Andy Warhol;White Marilyn;05.13.2014;41,045,000
Pablo Picasso;Au Lapin Agile;11.15.1989;40,700,000
Pablo Picasso;La lectureREPEAT SALE;02.08.2011;40,663,652
Edward Hopper;East Wind Over Weehawken;12.05.2013;40,485,000
Gustav Klimt;Litzlberg am Attersee;11.02.2011;40,402,500
Jackson Pollock;Number 4;11.13.2012;40,402,500
Franz Kline;Untitled;11.14.2012;40,402,500
Vincent van Gogh;L′Arlésienne, Madame Ginoux;05.02.2006;40,336,000
Paul Gauguin;L′homme à la hache;11.08.2006;40,336,000
Gustav Klimt;Birch Forest;11.08.2006;40,336,000
Egon Schiele;Häuser mit bunter Wäsche (Vorstadt II) (Houses with laundry (Suburb II));06.22.2011;40,030,520
Pablo Picasso;Tête de femme;11.06.2013;39,925,000
Vincent van Gogh;Sunflowers;03.30.1987;39,663,460
Francis Bacon;Study of Nude With Figure in a Mirror;02.27.2008;39,322,288
Paul Gauguin;Te poipoi (Le matin);11.07.2007;39,241,000
Fernand Léger;étude pour �la femme en bleu�;05.07.2008;39,241,000
Paul Gauguin;Maternité (II);11.04.2004;39,208,000
Pablo Picasso;Acrobate et jeune Arlequin;11.28.1988;38,532,448
Paul Cézanne;La montagne Sainte-Victoire;05.07.2001;38,502,500
Andy Warhol;Self-portrait (in 4 parts);05.11.2011;38,442,500
Andy Warhol;Four MarilynsREPEAT SALE;05.16.2013;38,245,000
Edvard Munch;Vampire;11.03.2008;38,162,500
Ernst Ludwig Kirchner;Berliner Strassenszene (recto); Bäume (verso);11.08.2006;38,096,000
Constantin Brancusi;Madame L.R. (Portrait de Mme L.R.);02.23.2009;37,435,600
Raphaël--raffaello sanzio--raphael--Da Raffaello Sanzio;Portrait of Lorenzo de′ Medici, Duke of Urbino (1492-1519), three-quarter-length, holding a gold box;07.05.2007;37,320,048
;Domplatz, Mailand (Cathedral Square, Milan)REPEAT SALE;05.14.2013;37,125,000
Edgar Degas;Danseuse au reposREPEAT SALE;11.03.2008;37,042,500
Andy Warhol;Double Elvis (Ferus Type);05.09.2012;37,042,500
Francis Bacon;Portrait of Lucian Freud (studies)(in 3 parts);02.10.2011;36,999,812
Paul Cézanne;Nature morte aux fruits et pot de gingembreREPEAT SALE;11.07.2006;36,976,000
Joan Miró;Peinture (étoile Bleue)REPEAT SALE;06.19.2012;36,955,820
Yves Klein;Le Rose du bleu (RE 22);06.27.2012;36,764,976
Claude Monet;Nymphéas;06.19.2007;36,659,600
Yves Klein;FC1 (Fire Color 1);05.08.2012;36,482,500
George Stubbs;Gimcrack on Newmarket Heath, with a trainer, jockey and stable lad;07.05.2011;36,101,240
Jasper Johns;Flag;11.11.2014;36,005,000
Sir Lawrence Alma-Tadema;The finding of MosesREPEAT SALE;11.04.2010;35,922,500
;Giudecca, La Donna della Salute and San Giorgio;04.06.2006;35,856,000
Claude Monet;Le grand canalREPEAT SALE;02.03.2015;35,633,680
Claude Monet;Waterloo Bridge, temps couvertREPEAT SALE;06.18.2007;35,462,000
Andy Warhol;Coca-cola - 4 (Large coca-cola);11.09.2010;35,362,500
Georges Seurat;Paysage,L′Ile de la Grande-Jatte;05.10.1999;35,202,500
John Constable;The LockREPEAT SALE;07.03.2012;35,183,392
Jean-Michel Basquiat;Untitled;05.13.2014;34,885,000
Pablo Picasso;Le repos;05.02.2006;34,736,000
Francis Bacon;Self-portrait (study; in 3 parts);06.30.2008;34,498,968
;Abstraktes BildREPEAT SALE;10.12.2012;34,165,172
Jeff Koons;Jim Beam - J.B. Turner Train;05.13.2014;33,765,000
Claude Monet;Alice hoschedé au jardinREPEAT SALE;11.04.2014;33,765,000
Mark Rothko;Untitled no. 17;05.11.2011;33,682,500
Jeff Koons;Tulips;11.14.2012;33,682,500
Francis Bacon;Portrait of Henrietta Moraes;02.14.2012;33,664,120
Henri Matisse;L′Odalisque, harmonie bleue;11.06.2007;33,641,000
Lucian Freud;Benefits Supervisor Sleeping;05.13.2008;33,641,000
Francis Bacon;Study for Self-Portrait;06.27.2012;33,619,208
Edouard Manet--Édouard Manet;Portrait de Manet par lui-même, en buste (Manet à la palette)REPEAT SALE;06.22.2010;33,296,082
